Metabolite,Identified_Name,p_value_12h,mean_YPGD_12h,mean_NPGD_12h,fold_change_12h,p_value_24h,mean_YPGD_24h,mean_NPGD_24h,fold_change_24h
HILIC_118.0652_151.2,Indole*,0.020953495472482056,20.374595094942773,19.890354142259582,0.034702425711534986,0.0459433503233165,20.26542930713593,19.939135950319038,0.02341784523958899
HILIC_118.0685_115.7,WR 1065,0.20584939152966533,18.126953576816945,18.33362477845827,-0.01635556672773508,0.42795540901031487,17.557045354619177,18.196160810480972,-0.05158401316835705
HILIC_118.0863_164.5,Propionylcarnitine*ᵢ,0.40230551642113555,27.022344219347332,26.854536563424457,0.008987010842854502,0.7900407139444825,26.718803205339466,26.648771761665756,0.00378634684263414
HILIC_118.1226_149,2-Methylcholine,0.3917417042081943,21.47376385240416,21.751052339320275,-0.018510117471920256,0.13896298502024093,22.133077413146026,21.883416528787425,0.016366064178849053
HILIC_120.0027_177.6,GLYCINEᵢ,0.43426514885446277,18.42988321087881,18.364530108847795,0.005124946254025429,0.7277598309934907,18.35865540141266,18.38637558948728,-0.0021767180147011095
HILIC_120.0557_137.5,Tetrahydropteridine,0.2681624325201844,15.249016199245748,15.38646956446812,-0.012946073097966731,0.4329217679706352,15.45126283046474,15.373774801782945,0.007253313460301199
HILIC_120.0655_183.9,L-Threonine*,0.9852370816961997,17.307755364026423,17.303020486476576,3.9473165423974674e-4,0.18456096632993838,17.678172440590885,17.344082289000703,0.02752563075808178
HILIC_121.0284_63.7,Salicylate,0.22562026177599778,16.825558970374104,16.319133830210397,0.04408994863645511,0.0011933149825037056,17.378158035130703,16.23687897994602,0.09800082728622463
HILIC_121.0648_105.8,TYRAMINEᵢ,0.7679130311750284,16.161619286675418,16.424412611418937,-0.023270022392657626,0.3038570592260737,16.11752005073125,16.7753639384979,-0.057714287525325134
HILIC_121.0648_252.3,p-Tolualdehyde*,0.4657972710209647,17.852356558327134,17.732920380923797,0.009684377511794011,0.6736281946591649,17.590135510616783,17.706693178954954,-0.009528209052529463
HILIC_121.1012_142.9,"1,2,4-Trimethylbenzene",0.42012664066995997,16.311011427714053,17.4948546451009,-0.10108443334486125,0.4811377518251322,16.936518376570746,17.823174909829948,-0.07361702075023836
HILIC_122.0601_97.8,Benzamide,0.639977917646725,16.647003569157842,16.535755301150896,0.009673573346677492,0.520480217101521,16.28527521945101,16.52227751696164,-0.02084446774351822
